BeachId,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
311.0,Burwood North Beach,151.744368,-32.957765,2021-12-13 00:00:00+00:00,0.0
312.0,Burwood South Beach,151.743074,-32.958677,2021-12-13 00:00:00+00:00,0.0
310.0,Merewether Beach,151.7579,-32.94813,2021-12-13 00:00:00+00:00,5.0
307.0,Newcastle Beach,151.786617,-32.93053,2021-12-13 00:00:00+00:00,2.0
306.0,Nobbys Beach,151.793185,-32.923867,2021-12-13 00:00:00+00:00,0.0
305.0,South Stockton Beach,151.788536,-32.910431,2021-12-13 00:00:00+00:00,5.0
301.0,Box Beach,152.182696,-32.731465,2021-12-13 00:00:00+00:00,0.0
302.0,Fingal Bay,152.17143,-32.74466,2021-12-13 00:00:00+00:00,0.0
303.0,One Mile Beach,152.117004,-32.778971,2021-12-13 00:00:00+00:00,3.0
300.0,Zenith Beach,152.18441,-32.72193,2021-12-13 00:00:00+00:00,1.0
220.0,Bombo Beach,150.856277,-34.655327,2021-12-09 00:00:00+00:00,12.0
219.0,Boyds Jones Beach,150.85601,-34.63906,2021-12-09 00:00:00+00:00,2.0
228.0,Seven Mile Beach (Gerroa),150.80864,-34.773962,2021-12-09 00:00:00+00:00,5.0
222.0,Surf Beach (Kiama),150.854824,-34.67616,2021-12-09 00:00:00+00:00,19.0
225.0,Werri Beach,150.833446,-34.742943,2021-12-09 00:00:00+00:00,0.0
226.0,Entrance Lagoon Beach,150.870378,-34.544555,2021-12-09 00:00:00+00:00,55.0
217.0,Shellharbour Beach,150.868308,-34.572297,2021-12-09 00:00:00+00:00,0.0
216.0,Warilla Beach,150.870165,-34.550129,2021-12-09 00:00:00+00:00,6.0
201.0,Austinmer Beach,150.9354,-34.30648,2021-12-09 00:00:00+00:00,3.0
205.0,Bellambi Beach,150.9211,-34.3636,2021-12-09 00:00:00+00:00,42.0
203.0,Bulli Beach,150.925579,-34.340349,2021-12-09 00:00:00+00:00,2.0
200.0,Coledale Beach,150.948983,-34.288398,2021-12-03 00:00:00+00:00,0.0
210.0,Coniston Beach,150.90162,-34.43804,2021-12-09 00:00:00+00:00,1.0
206.0,Corrimal Beach,150.916759,-34.382585,2021-12-09 00:00:00+00:00,1.0
213.0,Fishermans Beach,150.916662,-34.488283,2021-12-09 00:00:00+00:00,0.0
209.0,North Wollongong Beach,150.90199,-34.41568,2021-12-09 00:00:00+00:00,1.0
214.0,Port Kembla Beach,150.908698,-34.492998,2021-12-09 00:00:00+00:00,3.0
199.0,Stanwell Park Beach,150.989356,-34.231177,2021-12-03 00:00:00+00:00,1.0
202.0,Thirroul Beach,150.9279,-34.31638,2021-12-09 00:00:00+00:00,2.0
211.0,Wollongong City Beach,150.90698,-34.42352,2021-12-09 00:00:00+00:00,0.0
204.0,Woonona Beach,150.92073,-34.35046,2021-12-09 00:00:00+00:00,2.0
101.0,Carss Point Baths,151.11933,-33.99136,2021-12-13 00:00:00+00:00,5.0
105.0,Como Baths,151.07061,-33.9968,2021-12-13 00:00:00+00:00,22.0
106.0,Jew Fish Bay Baths,151.05921,-33.98451,2021-12-13 00:00:00+00:00,19.0
104.0,Oatley Bay Baths,151.08406,-33.98751,2021-12-13 00:00:00+00:00,9.0
568.0,Diggers Beach,153.144002,-30.276027,2021-12-06 00:00:00+00:00,43.0
553.0,Emerald Beach,153.190462,-30.170578,2021-12-06 00:00:00+00:00,1250.0
575.0,Jetty Beach  (Coffs Harbour),153.142304,-30.303866,2021-12-06 00:00:00+00:00,54.0
570.0,Park Beach,153.140562,-30.294522,2021-12-06 00:00:00+00:00,84.0
538.0,Safety Beach,153.20141,-30.094545,2021-12-06 00:00:00+00:00,36.0
579.0,Sawtell Beach,153.102985,-30.368466,2021-12-06 00:00:00+00:00,2.0
582.0,Sawtell Rock Pool,153.101496,-30.376667,2021-12-06 00:00:00+00:00,16.0
542.0,Woolgoolga Main Beach,153.202757,-30.108607,2021-12-06 00:00:00+00:00,226.0
147.0,Barrenjoey Beach,151.323152,-33.586975,2021-12-08 00:00:00+00:00,1.0
151.0,Bayview Baths,151.299002,-33.658606,2021-12-08 00:00:00+00:00,100.0
150.0,Clareville Beach,151.311272,-33.634177,2021-12-08 00:00:00+00:00,23.0
154.0,Elvina Bay,151.278198,-33.639078,2021-12-08 00:00:00+00:00,0.0
156.0,Great Mackerel Beach,151.301506,-33.590483,2021-12-08 00:00:00+00:00,0.0
153.0,North Scotland Island,151.292184,-33.636203,2021-12-08 00:00:00+00:00,4.0
148.0,Paradise Beach Baths,151.316489,-33.623802,2021-12-08 00:00:00+00:00,0.0
153.1,South Scotland Island,151.291354,-33.644454,2021-12-08 00:00:00+00:00,0.0
157.0,Taylors Point Baths,151.306718,-33.634883,2021-12-08 00:00:00+00:00,8.0
155.0,The Basin,151.293749,-33.604105,2021-12-08 00:00:00+00:00,0.0
107.0,Jibbon Beach,151.15944,-34.08075,2021-12-13 00:00:00+00:00,33.0
38.0,Gunnamatta Bay Baths,151.14863,-34.05803,2021-12-13 00:00:00+00:00,11.0
110.0,Gymea Bay Baths,151.09326,-34.04982,2021-12-13 00:00:00+00:00,42.0
108.0,Horderns Beach,151.150782,-34.083406,2021-12-13 00:00:00+00:00,15.0
109.0,Lilli Pilli Baths,151.110879,-34.06948,2021-12-13 00:00:00+00:00,6.0
721.0,Bengello Beach,150.175892,-35.858913,2021-12-13 00:00:00+00:00,23.0
717.0,Brou Beach,150.126114,-36.162006,2021-12-13 00:00:00+00:00,0.0
722.0,Broulee Beach,150.17875,-35.843126,2021-12-13 00:00:00+00:00,11.0
725.0,Caseys Beach,150.19763,-35.72524,2021-12-13 00:00:00+00:00,15.0
727.0,Cookies Beach,150.295746,-35.657693,2021-12-13 00:00:00+00:00,2.0
723.0,Malua Bay,150.230953,-35.792435,2021-12-13 00:00:00+00:00,15.0
715.0,Narooma Beach,150.140633,-36.224358,2021-12-13 00:00:00+00:00,0.0
720.0,Shelley Beach (Moruya Heads),150.156328,-35.90862,2021-12-13 00:00:00+00:00,250.0
724.0,Surf Beach,150.211296,-35.758699,2021-12-13 00:00:00+00:00,27.0
718.0,Tuross Main Beach,150.137862,-36.064065,2021-12-13 00:00:00+00:00,360.0
716.0,Wagonga Beach,150.131444,-36.209568,2021-12-13 00:00:00+00:00,4.0
836.0,Bawley Point,150.3927,-35.5048,2021-12-07 00:00:00+00:00,0.0
834.0,Collingwood Beach,150.6744,-35.0618,2021-12-07 00:00:00+00:00,0.0
710.1,Cudmirrah Beach,150.581471026,-35.190808589,2021-12-07 00:00:00+00:00,6.0
837.0,Merry Beach,150.3756,-35.5643,2021-12-07 00:00:00+00:00,0.0
711.0,Mollymook Beach,150.474261,-35.338515,2021-12-07 00:00:00+00:00,0.0
713.0,Racecourse Beach,150.463413,-35.379126,2021-12-07 00:00:00+00:00,1.0
838.0,Renies Beach,150.4797,-35.368,2021-12-07 00:00:00+00:00,1.0
707.1,Shoalhaven Heads Beach,150.750231,-34.851023,2021-12-07 00:00:00+00:00,0.0
707.0,Tilbury Cove,150.772608,-34.930833,2021-12-07 00:00:00+00:00,0.0
707.2,Warrain Beach,150.779775467605,-34.933961,2021-12-07 00:00:00+00:00,0.0
25.0,Clovelly Beach,151.267505,-33.914486,2021-12-10 00:00:00+00:00,64.0
26.0,Coogee Beach,151.25817,-33.92076,2021-12-10 00:00:00+00:00,150.0
25.9,Gordons Bay (East),151.264558,-33.915646,2021-12-10 00:00:00+00:00,21.0
29.0,Little Bay Beach,151.25149,-33.98012,2021-12-10 00:00:00+00:00,46.0
28.0,Malabar Beach,151.252247,-33.96436,2021-12-10 00:00:00+00:00,6.0
27.0,Maroubra Beach,151.25718,-33.94879,2021-12-10 00:00:00+00:00,5.0
27.4,South Maroubra Beach,151.257175,-33.951615,2021-12-10 00:00:00+00:00,130.0
27.3,South Maroubra Rockpool,151.2582,-33.95354,2021-12-10 00:00:00+00:00,0.0
22.0,Bondi Beach,151.27761,-33.89151,2021-12-10 00:00:00+00:00,40.0
24.0,Bronte Beach,151.268622,-33.903069,2021-12-10 00:00:00+00:00,140.0
23.0,Tamarama Beach,151.270572,-33.90056,2021-12-10 00:00:00+00:00,110.0
74.0,Cabarita Beach,151.11852,-33.84187,2021-12-09 00:00:00+00:00,10.0
74.1,Chiswick Baths,151.14295,-33.847206,2021-12-09 00:00:00+00:00,8.0
61.0,Darling Harbour,151.20069,-33.87129,2021-12-09 00:00:00+00:00,30.0
88.0,Davidson Reserve,151.200314,-33.768008,2021-12-09 00:00:00+00:00,240.0
82.0,Woolwich Baths,151.169399,-33.838906,2021-12-09 00:00:00+00:00,16.0
74.8,Callan Park Seawall,151.159306,-33.862333,2021-12-09 00:00:00+00:00,150.0
77.0,Dawn Fraser Pool,151.17306,-33.85315,2021-12-09 00:00:00+00:00,240.0
83.0,Greenwich Baths,151.1829,-33.84176,2021-12-09 00:00:00+00:00,23.0
81.0,Tambourine Bay,151.16154,-33.828016,2021-12-09 00:00:00+00:00,250.0
80.0,Woodford Bay,151.17254,-33.831968,2021-12-09 00:00:00+00:00,13.0
52.1,Balmoral Baths,151.25332,-33.82682,2021-12-09 00:00:00+00:00,19.0
50.0,Chinamans Beach,151.24913,-33.81477,2021-12-09 00:00:00+00:00,5.0
53.0,Clifton Gardens,151.25354,-33.839044,2021-12-09 00:00:00+00:00,1.0
51.0,Edwards Beach,151.25283,-33.82138,2021-12-09 00:00:00+00:00,2.0
72.0,Hayes Street Beach,151.219382,-33.841715,2021-12-09 00:00:00+00:00,26.0
84.0,Clontarf Pool,151.25172,-33.80579,2021-12-09 00:00:00+00:00,13.0
57.0,Fairlight Beach,151.27481,-33.80054,2021-12-09 00:00:00+00:00,50.0
58.0,Forty Baskets Pool,151.27065,-33.80312,2021-12-09 00:00:00+00:00,34.0
89.1,Gurney Crescent Baths,151.235278,-33.793451,2021-12-09 00:00:00+00:00,28.0
56.0,Little Manly Cove,151.2867,-33.80723,2021-12-09 00:00:00+00:00,46.0
54.0,Manly Cove,151.282559,-33.799517,2021-12-09 00:00:00+00:00,34.0
86.0,Northbridge Baths,151.222754,-33.806043,2021-12-09 00:00:00+00:00,36.0
62.2,Camp Cove,151.278538,-33.839541,2021-12-09 00:00:00+00:00,1.0
67.0,Murray Rose Pool,151.24696,-33.8712,2021-12-09 00:00:00+00:00,67.0
55.0,Nielsen Park,151.26626,-33.84979,2021-12-09 00:00:00+00:00,18.0
63.0,Parsley Bay,151.27636,-33.84979,2021-12-09 00:00:00+00:00,42.0
65.0,Rose Bay Beach,151.2659,-33.870424,2021-12-09 00:00:00+00:00,66.0
62.0,Watsons Bay,151.28052,-33.84504,2021-12-09 00:00:00+00:00,33.0
4.0,Avalon Beach,151.332362,-33.63587,2021-12-08 00:00:00+00:00,0.0
10.2,Bilarong Reserve (Narrabeen Lagoon),151.286856,-33.71069,2021-12-08 00:00:00+00:00,41.0
5.0,Bilgola Beach,151.32792,-33.64596,2021-12-08 00:00:00+00:00,1.0
10.1,Birdwood Park (Narrabeen Lagoon),151.30505,-33.70392,2021-12-08 00:00:00+00:00,58.0
7.0,Bungan Beach,151.3209,-33.66523,2021-12-08 00:00:00+00:00,1.0
12.0,Collaroy Beach,151.30277,-33.73269,2021-12-08 00:00:00+00:00,5.0
14.0,Dee Why Beach,151.29728,-33.75283,2021-12-08 00:00:00+00:00,0.0
17.0,Freshwater Beach,151.29076,-33.78164,2021-12-08 00:00:00+00:00,7.0
13.0,Long Reef Beach,151.30593,-33.74525,2021-12-08 00:00:00+00:00,0.0
8.0,Mona Vale Beach,151.31403,-33.67913,2021-12-08 00:00:00+00:00,120.0
6.0,Newport Beach,151.323436,-33.653881,2021-12-08 00:00:00+00:00,2.0
15.0,North Curl Curl Beach,151.29925,-33.76696,2021-12-08 00:00:00+00:00,1.0
10.0,North Narrabeen Beach,151.30523,-33.70604,2021-12-08 00:00:00+00:00,1.0
19.0,North Steyne Beach,151.2878,-33.79099,2021-12-08 00:00:00+00:00,4.0
2.0,Palm Beach,151.325147,-33.59749,2021-12-08 00:00:00+00:00,0.0
18.0,Queenscliff Beach,151.28874,-33.78689,2021-12-08 00:00:00+00:00,12.0
21.0,Shelly Beach (Manly),151.297668,-33.800514,2021-12-08 00:00:00+00:00,29.0
16.0,South Curl Curl Beach,151.29292,-33.77403,2021-12-08 00:00:00+00:00,0.0
20.0,South Steyne Beach,151.2903,-33.79889,2021-12-08 00:00:00+00:00,3.0
9.1,Turimetta Beach,151.310771,-33.697655,2021-12-08 00:00:00+00:00,1.0
9.0,Warriewood Beach,151.308778,-33.691306,2021-12-08 00:00:00+00:00,0.0
3.0,Whale Beach,151.331716,-33.611494,2021-12-08 00:00:00+00:00,1.0
30.0,Boat Harbour,151.20073,-34.03813,2021-12-10 00:00:00+00:00,54.0
33.0,Elouera Beach,151.15966,-34.04661,2021-12-10 00:00:00+00:00,8.0
31.0,Greenhills Beach,151.184222,-34.034407,2021-12-10 00:00:00+00:00,25.0
34.0,North Cronulla Beach,151.15659,-34.05101,2021-12-10 00:00:00+00:00,9.0
37.0,Oak Park,151.156927,-34.070076,2021-12-10 00:00:00+00:00,8.0
36.0,Shelly Beach (Sutherland),151.15555,-34.06413,2021-12-10 00:00:00+00:00,10.0
35.0,South Cronulla Beach,151.15548,-34.05573,2021-12-10 00:00:00+00:00,8.0
32.0,Wanda Beach,151.16205,-34.04393,2021-12-10 00:00:00+00:00,12.0
749.0,Bagnalls Beach,152.1186,-32.7176,2020-03-30 00:00:00+00:00,14.0
750.0,Birubi Beach,152.0403,-32.7176,2020-03-30 00:00:00+00:00,3.0
749.1,Dutchmans Beach,152.1336,-32.7195,2020-03-30 00:00:00+00:00,3.0
754.2,Georges Reserve,152.0744,-32.7151,2020-03-30 00:00:00+00:00,33.0
751.0,Karuah Tidal Pool,151.9679,-32.6555,2020-03-30 00:00:00+00:00,460.0
752.0,Lemon Tree Passage Tidal Pool,152.0403,-32.7303,2020-03-30 00:00:00+00:00,4.0
753.0,Little Beach,152.1568,-32.7134,2020-03-30 00:00:00+00:00,8.0
770.0,Aslings Beach,149.9127,-37.0568,2020-03-10 00:00:00+00:00,5.0
772.0,Bar Beach (Merimbula),149.924017,-36.895613,2020-03-10 00:00:00+00:00,10.0
773.0,Beares Beach,150.079001,-36.432616,2020-03-10 00:00:00+00:00,8.0
774.0,Big Blue Pool,150.084,-36.43,2020-03-10 00:00:00+00:00,9.0
775.0,Bruce Steer Pool,150.073352,-36.424229,2020-03-10 00:00:00+00:00,7.0
776.0,Camel Rock Beach,150.076389,-36.380193,2020-03-10 00:00:00+00:00,5.0
777.0,Cocora Beach,149.897401,-37.072101,2020-03-10 00:00:00+00:00,320.0
779.0,Horseshoe Bay (Bermagui),150.077304,-36.425,2020-03-10 00:00:00+00:00,1.0
781.0,Main Beach (Merimbula),149.914199,-36.899204,2020-03-10 00:00:00+00:00,8.0
783.0,Mogareeka Inlet,149.976703,-36.700705,2020-03-10 00:00:00+00:00,14.0
783.1,Mogareeka Lions Park,149.979301,-36.703197,2020-03-10 00:00:00+00:00,10.0
784.0,Pambula Beach,149.9099,-36.9407,2020-03-10 00:00:00+00:00,5.0
785.0,Pambula River Mouth,149.914378,-36.947582,2020-03-10 00:00:00+00:00,8.0
786.0,Short Point Beach,149.930771,-36.882809,2020-03-10 00:00:00+00:00,0.0
788.0,Tathra Beach,149.9828,-36.7265,2020-03-10 00:00:00+00:00,1.0
632.0,Summerland Point,151.56525,-33.13563333,2019-09-24 00:00:00+00:00,5.0
325.0,Arcadia Vale,151.587255,-33.061775,2018-04-03 00:00:00+00:00,1.0
626.0,Balcolyn,151.548656,-33.089798,2018-04-03 00:00:00+00:00,38.0
608.0,Belmont,151.656303,-33.034032,2018-04-03 00:00:00+00:00,4.0
618.0,Bolton Point,151.609276,-32.998285,2018-04-03 00:00:00+00:00,2.0
612.0,Cams Wharf,151.614547,-33.125076,2018-04-03 00:00:00+00:00,6.0
615.0,Catherine Hill Bay,151.629428,-33.157655,2018-04-03 00:00:00+00:00,1.0
324.0,Croudace Bay,151.640591,-33.003823,2018-04-03 00:00:00+00:00,12.0
323.0,Eleebana (Lions Park),151.635554,-32.988733,2018-04-03 00:00:00+00:00,28.0
621.0,Kilaben Bay,151.59308,-33.02634,2018-04-03 00:00:00+00:00,54.0
616.0,Speers Point Park,151.618313,-32.963347,2018-04-03 00:00:00+00:00,22.0
627.0,Sunshine,151.566103,-33.112712,2018-04-03 00:00:00+00:00,1.0
610.0,Swansea,151.633172,-33.07145,2018-04-03 00:00:00+00:00,40.0
620.0,Toronto,151.598845,-33.014224,2018-04-03 00:00:00+00:00,6.0
623.0,Wangi Point (Van Park),151.610194,-33.073812,2018-04-03 00:00:00+00:00,12.0
73.0,Henley Baths (Kelly St Baths),151.1317,-33.84353,2018-03-27 00:00:00+00:00,4.0
811.0,Ettalong Channel,151.3355,-33.5163,2017-02-20 00:00:00+00:00,0.0
823.0,Patonga Creek,151.267335,-33.554083,2017-02-14 00:00:00+00:00,41.0
739.0,Back Creek,153.0377,-30.8832,2014-03-17 00:00:00+00:00,100.0
740.0,Grassy Head,153.000198,-30.793103,2014-03-17 00:00:00+00:00,0.0
741.0,Hat Head Beach,153.0526,-31.0531,2014-03-17 00:00:00+00:00,32.0
742.0,Horseshoe Bay (South West Rocks),153.0401,-30.883,2014-03-17 00:00:00+00:00,0.0
743.0,Killick Beach,152.9778,-31.1863,2014-03-17 00:00:00+00:00,1.0
744.0,Killick Creek,152.9784,-31.1875,2014-03-17 00:00:00+00:00,30.0
745.0,Korogoro Creek,153.0564,-31.054,2014-03-17 00:00:00+00:00,20.0
746.0,Saltwater Creek,153.0427,-30.8845,2014-03-17 00:00:00+00:00,940.0
747.0,Stuarts Point,152.995103,-30.821951,2014-03-17 00:00:00+00:00,6.0
748.0,Trial Bay,153.0428,-30.8831,2014-03-17 00:00:00+00:00,1.0
905.0,Belongil Beach,153.604265,-28.636172,2013-04-30 00:00:00+00:00,13.0
910.0,Broken Head,153.614815,-28.704676,2013-04-30 00:00:00+00:00,1.0
901.0,Clarkes Beach,153.620065,-28.641852,2013-04-30 00:00:00+00:00,0.0
908.0,South Beach (Brunswick Heads),153.55722,-28.541,2013-04-30 00:00:00+00:00,8.0
903.0,Tallow Beach (Byron Bay),153.632961,-28.645628,2013-04-30 00:00:00+00:00,5.0
909.0,The Strand,153.552774,-28.516785,2013-04-30 00:00:00+00:00,8.0
902.0,Watego’s Beach,153.633336,-28.636294,2013-04-30 00:00:00+00:00,1.0
307.1,Canoe Pool,151.7898,-32.9301,2013-04-30 00:00:00+00:00,4.0
310.1,Merewether Learners Pool,151.7564,-32.9515,2013-04-30 00:00:00+00:00,6.0
310.2,Merewether Main Pool,151.7556,-32.9517,2013-04-30 00:00:00+00:00,0.0
307.2,Newcastle Baths,151.791,-32.9295,2013-04-30 00:00:00+00:00,0.0
804.1,Avoca Lagoon,151.4328,-33.4633,2011-04-28 00:00:00+00:00,2005.0
762.0,Corcoran Street,152.9534,-29.6778,2011-03-22 00:00:00+00:00,69.0
527.0,Iluka Bay,153.3483,-29.40806,2011-03-22 00:00:00+00:00,9.0
523.0,Kolora Lake,153.3221,-29.42858,2011-03-22 00:00:00+00:00,16.0
735.0,MacLean Jetty,153.1958,-29.45796,2011-03-22 00:00:00+00:00,12.0
760.0,Prince Street (Grafton),152.9315,-29.6936,2011-03-22 00:00:00+00:00,75.0
761.0,Sailing Club (Grafton),152.9408,-29.6963,2011-03-22 00:00:00+00:00,912.0
529.1,Ulmarra Jetty,153.0268,-29.6309,2011-03-22 00:00:00+00:00,44.0
531.1,Wooli Estuary North,153.2625,-29.8552,2011-03-22 00:00:00+00:00,142.0
531.2,Wooli Estuary South,153.266214,-29.88734,2011-03-22 00:00:00+00:00,156.0
852.0,Lake Cathie,152.858679,-31.548583,2011-03-28 00:00:00+00:00,7.0
636.0,Elizabeth Bay,151.5857333,-33.20743333,2010-04-30 00:00:00+00:00,19.0
650.0,Long Jetty,151.4842667,-33.35433333,2010-04-28 00:00:00+00:00,0.0
