BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,18/11/2021,15
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,24/11/2021,92
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,17/12/2021,46
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,16/04/2021,76
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,22/12/2021,19
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,26/02/2021,43
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,06/04/2021,30
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,06/10/2021,28
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,12/01/2021,110
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,21/04/2021,0
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,28/04/2021,1
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,27/10/2021,26
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,12/11/2021,530
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,04/03/2021,62
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,16/03/2021,76
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,18/01/2021,3
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,16/02/2021,31
98,Botany Bay,Bayside Council,Dolls Point Baths,151.14512,-33.99719,01/12/2021,62
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,16/02/2021,330
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,04/03/2021,24
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,28/04/2021,18
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,06/10/2021,27
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,27/10/2021,4
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,06/04/2021,210
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,15/10/2021,2000
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,16/03/2021,300
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,16/04/2021,16
93,Botany Bay,Bayside Council,Foreshores Beach,151.19803,-33.9574,03/09/2021,12
